Page,Tableau,Type,Base Column,Additional Column,Column Index
1,1,One Column,Sewing a network: electronic textiles in educational making workshops,,1
1,2,One Column,"For further details about the available Erasmus+ National Agencies, please consult the following page:",,1
2,3,Two Columns - Base,,,1
2,4,Two Columns - Base,Legal Representative,,1
2,4,Two Columns - Base,,,1
2,4,Two Columns - Line Break,Mr,,2
2,5,Two Columns - Base,Contact Person,,1
2,5,Two Columns - Base,,,1
2,5,Two Columns - Line Break,Mrs,,2
3,6,One Column,"Digijeunes was set up in response to a perceived lack of non-formal educational activities targeting youngsters and tackling digital media and latest digital technologies. We believe youth workers and youth organizations should play an important role in encouraging youngsters to employ digital medi and technologies in ways that promote their personal and professional growth, both in formal and non-formal educational contexts. Our activities are built around two axis: a) ensure that children an adolescents have access to latest media and digital technologies; b) trigger reflection, debate, critic analysis of these new forms of interaction with people and the environment. Digijeunes also originated in reaction to the growing place that DIY and participatory culture occupies in our communities. We believe these phenomena are highly valuable and deserve promotion in so far as they tend to foster communitarism and reduce negative reflexes such as compulsive consumerism",,1
3,7,One Column,"challenges, Trade events, digital fabrication festivals, etc. Thus, digijeunes.com serves as intermediary between organizations and institutions active in the domain of digital mediation and th target public. It also serves to consolidate their network and mutually enrich their practices. The people who are at the origin of this venture have an extensive experience in different domains spanning from social work to public policy consulting. Their skills and competences are complementary, so that the organization is able to dispense quality work , which allows digijeunes a well as its partners to evolve an ever greater understanding of their public needs and to develop too crafted to effectively convey their ideals and values. The objectives of the organization can be summed up as follows: - foster solidarity and social cohesion by encouraging the meeting and sharing of experiences between youngsters from different social, cultural, economical backgrounds shape active citizens, capable of contributing to the emergence of a participatory culture, especially through use of latest forms of technology - provide disadvantaged youth with opportunities for education and/or professional growth, especially in the domain of digital and media industries - weaken the boundaries between formal and non-formal education on digital media, digital",,1
3,8,One Column,"latest media technologies such as social networks, online search engines, online collaborative tools and encourage the public to develop an informed opinion about these topics. - fight against the digit divide and digital exclusion to ensure that every young person has access to the skills and experience needed to become a full participant in today's society, can articulate their understanding",,1
3,9,One Column,"practical participative component to theoretical and individualistic practices. They include the following: - street workshops for youngsters aged between 8 and 14 years old on collaborative vide production / editing, the fundamentals of electronics, robotics and computer programming - workshops at community centres, libraries, fablabs and places for DIY and digital culture on",,1
3,10,One Column,"debates on ethical and societal issues surrounding the latest forms of media and digital technologie - setting up digital itinerant spaces completely free of access , especially in rural areas. These are equipped with internet access, computers, tablets, pedagogical tools and games on social network robotics, computer programming, web design, digital citizenship - conception and production of",,1
4,11,One Column,"pedagogical tools on video production/editing, online content upload (social networks, web logs, websites, wikis), computer programming, web design, robotics.",,1
4,12,One Column,"Digijeunes is currently developing the following projects: - a partnership with Toulouse Fablab (Artilect), for workshops on digital citizenship targeting youngsters from 16 to 25 years old. The",,1
4,13,One Column,"in addition to tackling topics such as onlin identiy, privacy, managin personal data on-line; participants are also introduced to the maker culture and the various opportunities to engage with th local maker community. - several partnerships with community centres in the Aude region (in the communes of carcassonne, limoux, Alzonne, etc.), on the development of open educational resources on computer programming and robotics. The resources that have been produced so far",,1
4,14,One Column,"youth. - codeweek 2017 in cooperation with Fablab Artilect, Toulouse. Digijeunes is currently preparing for the 2017 edition f the european code week. In this context, we will set up a series of workshops on digital science and the maker culture. They will be open to anyone interested in these topics or just cirous, regardless age or background. The workhops will be hosted at Artilect Fablab ,",,1
4,15,One Column,"2018. Digijeunes is setting up events within the context of the 2018 edition of the european maker week. the workhsops will sensitize the general public to electornic and classic DIY, as well as to the maker culture and maker commlunities across europe, more generally. - digijeunes contributes to defining the curriculum of training courses targeting adults at Fablab Artilect on the following topics: 3D printing,... It contributes notably to developing the pedagogical aspects of such courses. Also, at fablab Pau, we provide training courses on managing groups of young people and running practical workshops on digital science - In october 2017 we will co-organize the OPen bidoulle Camp i toulouse, an event about DIY and making activites open to the general public. In particular, we will b porposing hands-on and particiative activites on e-textiles and wearable technologies. - We are developing educational resources on digitla fabricaiton and digital science (internet of things, coding social networking) in cooperation with local partners as well as organiztions based abroad (Romania Italy, Bulgaria). These shall be highly accessible, open source, and will serve to introduce youth experiencing educational geographical social obstacles as well as youth at risk of digital exclusion to ICT related topics. We regularly exchange on professional practices related to the non-formal",,1
